molten,v.熔化；a.熔化的
moment,n.瞬間；重要
momentous,a.極重要的，嚴重的
momentum,n.推進力，勢頭
monarch,n.君主，帝王
monarchy,n.君主制
monetary,a.貨幣的
mongrel,n.雜種動物；混血兒
monochromatic,a.單色的
monochrome,a.單色的，單色畫的
monocle,n.單片眼鏡
monogamy,n.一夫一妻制
monolithic,a.巨石的，巨大的
monologue,n.獨白；個人長篇演說
monomania,n.偏狂症，狂熱病
monopoly,n.專利權，壟斷
monotonous,a.單調的，無聊的
monotony,n.單調，千篇一律
monsoon,n.季雨，季風
montage,n.蒙太奇；拼集畫
monumental,a.極大的；紀念碑的
morale,n.士氣，精神力量
moralistic,a.道學氣的
moratorium,n.停止償付；禁止活動
morbid,a.病態的，不正常的
mordant,a.譏諷的，尖酸的
mores,n.風俗習慣，道德觀念
moribund,a.即將結束的；垂死的
morose,a.陰鬱的
morsel,n.一小塊(食物)；小量
mortality,n.死亡率
mortar,n.小臼，乳鉢；迫擊炮
mortgage,n.抵押貸款；抵押證書；v.用…作抵押
mortification,n.恥辱，屈辱
mortify,v.使屈辱，使痛心
mortuary,n.停屍間，太平間
mosaic,n.馬賽克；鑲嵌細工(把小塊玻璃石頭等鑲嵌成圖畫)
mosque,n.清真寺(伊斯蘭教的寺廟)
mosquito,n.蚊子
mote,n.微粒，微塵
motif,n.(作品)主題，主旨
motility,n.運動性
motley,a.混雜的；雜色的
mottled,a.有雜色的，斑駁的
motto,n.座右銘；箴言
mountainous,a.多山的；巨大的
mourn,v.哀悼，哀傷
mournful,a.悲傷的
movement,n.(交響樂)樂章
muffle,v.使聲音降低；裹住
muffled,a.(聲音)壓低的
muffler,n.消音器；圍巾
mulish,a.騾一樣的，執拗的
multiple,a.多樣的，多重的
multiplicity,n.多樣性
multiply,v.乘；增加；繁殖
mumble,v.咕噥，含糊不清地說
mundane,a.現世的，世俗的
municipality,n.市；市政當局(指城市行政區及管理者)
munificence,n.慷慨，寬宏大量
munition,n.軍火，彈藥
mural,a.牆壁的；n.壁畫
murky,a.黑暗的；朦朧的
murmur,v.柔聲地說，喃喃而言
muscle,n.肌肉；肌肉的力量
muscular,a.肌肉的；強健的
muse,v.沈思，冥想
mushroom,n.蘑菇；v.雨後春筍般迅速發展
musicologist,n.音樂學者
musket,n.舊式步槍
muster,v.召集，聚集
mutate,v.變異
mute,a.沈默的；v.減弱聲音；n.弱音器
muted,a.(聲音)減弱的，變得輕柔的
mutineer,n.反叛者，背叛者
mutter,v.咕噥，嘀咕
myopia,n.近視；缺乏遠見
myopic,a.近視眼的；缺乏辨別力的
myriad,a.許多的，無數的
mystic,a.神秘的，不可思議的；n.神秘主義者
nadir,n.最低點
nag,v.嘮叨，煩擾
naive,a.天真的，純樸的
narcissism,n.自戀，自愛
narcissist,n.自負的人，自戀者
narcotic,n.催眠藥；a.催眠的
narrative,a.敘述的，講故事的
nascent,a.初生的，萌芽的
natal,a.出生的，誕生時的
natty,a.整潔的；瀟灑的
nausea,n.作嘔，惡心
nauseate,v.使作嘔，使厭惡
nautical,a.船員的，航海的
navigate,v.航海，導航
naysay,v.拒絕，說不
nebulous,a.模糊不清的；雲狀的
needle,n.針；針葉
needlework,n.縫紉，刺繡
needy,a.貧窮的
nefarious,a.違法的，邪惡的
negate,v.取消；否認
negation,n.否定，拒絕
negligence,n.粗心，疏忽
negotiable,a.可商量的
negotiate,v.商議，談判，交涉
neolithic,a.新石器時代的
neologism,n.新字，新義
neophyte,n.初學者，新手
nepotism,n.裙帶關係
nerve,n.勇氣；v.給予力量或勇氣
nettle,n.蕁麻；v.煩憂，激惱
neurology,n.神經學
neutralize,v.使無效；中和
neutron,n.中子
nexus,n.(看法等的)聯繫，連結
nib,n.鋼筆尖
nibble,v.一點點地咬，慢慢啃
nice,a.精密的
nicety,n.準確，精確
nick,n.小傷口，刻痕
nicotine,n.尼古丁
nightmare,n.惡夢；可怕的事
nil,n.無，零
nip,v.小口啜飲
nitpick,v.挑剔，吹毛求疵
nocturnal,a.夜晚的，夜間發生的
noisome,a.惡臭的；令人不快的
nomad,n.流浪者；遊牧部落的人
nomadic,a.遊牧的
nominal,a.名義上的，有名無實的
nominate,v.提名；任命，指定
nonchalance,n.冷漠，缺少關懷；沈著
nonchalant,a.冷漠的
noncommittal,a.態度暖味的；不承擔義務的
nonconformist,adj./n.不遵照傳統生活的(人)
nonentity,n.不重要之人或事
nonflammable,a.不易燃的
nonplus,v.使窘困迷惑；n.迷惑，窘境
nonporous,a.無孔的，不滲透的
nonradioactive,a.非放射性的
nonsensical,a.荒唐的，無意義的
nonthreatening,a.不威脅的
nonviable,a.無法生存的
norm,n.規範，准則
nostalgia,n.懷舊之情
nostrum,n.家傳秘方；萬靈丹
notable,a.明顯的，出眾的，重要的
notch,n.V字形刻痕
notorious,a.臭名昭著的
nourish,v.滋養，懷有(希望等)
nova,n.新星
novelty,n.新奇(的事物)
novice,n.生手，新手
noxious,a.有害的，有毒的
nuance,n.細微的差異
nubile,a.(女孩)到婚嫁年齡的；吸引人的
nucleate,v.使成核
nucleus,n.(原子)核
nudge,v.(用肘)輕觸，輕推
nugatory,a.無價值的，瑣碎的
nullify,v.使無效，取消
numb,a.麻木的
numerous,a.許多的，很多的
numismatist,n.錢幣學家，錢幣收藏家
nurture,v.撫育，給…營養物，教養；n.養育，營養物；(總稱)環境因素
nutrient,n.滋養物質
nutrition,n.營養
oafishness,n.痴呆
oak,n.橡樹
oasis,n.綠洲
oath,n.誓言；咒罵
obdurate,a.固執的，頑固的
obedient,a.服從的，順從的
obeisance,n.鞠躬，敬禮
obese,a.極肥胖的
obfuscate,v.使困惑，使迷惑
obituary,n.訃聞，訃告
objection,n.厭惡，反對
objective,a.客觀的；n.目標
obligation,n.責任；債務，欠的人情
obligatory,a.強制性的，義務的
oblige,v.束縛；恩惠於…
obliging,a.懇切的，熱心助人的
oblique,a.間接的；斜的
obliterate,v.塗掉，擦掉
oblivious,a.遺忘的，疏忽的
obloquy,n.大罵，斥責
obnoxious,a.令人不愉快的；可憎的
obscure,a.難理解的；不清楚的；v.隱藏；使…模糊
obscurity,n.費解，不出名
obsequious,a.逢迎的，諂媚的
observatory,n.天文台
obsess,v.迷住；使…困窘，使…煩擾
obsessed,a.心神不寧的
obsession,n.入迷；固執的念頭
obsolescent,a.即將過時的
obsolete,a.廢棄的；過時的
obstacle,n.障礙，干擾
obstinacy,n.固執，倔強，頑固
obstinate,a.固執的，倔強的
obstreperous,a.吵鬧的，難管束的
obstruct,v.阻塞，截斷
obstruction,n.阻礙(物)，妨礙
obtainable,a.能得到的
obtuse,a.愚笨的；不銳利的
obverse,n./a.正面(的)
obviate,v.排除(困難)
obvious,a.明顯的，顯而易見的
occlude,v.使閉塞
occult,a.秘密的，不公開的
occupation,n.工作，職業；佔領
occurrence,n.事件；發生
octogenarian,n.80～89歲的老人
odds,n.機會，可能性
ode,n.長詩，頌歌
odious,a.可憎的，討厭的
odium,n.憎惡，反感
odometer,n.(汽車)里程表
odyssey,n.長途的冒險旅行
offbeat,a.不規則的，不平常的
offence(offense),n.得罪；錯事
offend,v.得罪，冒犯
offensive,a.令人不快的，得罪人的
offhand,adv./a.事先無準備地(的)；隨便地(的)
officious,a.愛發命令的，好忠告的；過度殷勤的
offish,a.冷淡的
off-key,a.走調的，不和諧的
offset,v.補償，抵消
offspring,n.兒女，後代
offstage,adv./a.台後(的)，幕後(的)
ogle,v.送秋波；n.媚眼
ointment,n.油膏，軟膏
olfaction,n.嗅覺
oligarchy,n.寡頭政治
omelet,n.煎蛋捲
ominous,a.預兆的，不祥的
omit,v.省略，遺漏；疏忽
omnipotent,a.全能的，萬能的
omnipresent,a.無處不在的
omniscient,a.無所不知的，博識的
onerous,a.繁重的，麻煩的
onset,n.(壞情況)開始發作
opacity,n.不透明性，晦澀
opalescence,n.(不透明的)乳白光
opaque,a.不透明的；難懂的
operative,a.(計劃等)實施中的；生效的
operetta,n.小歌劇
opine,v.想，以為
opinionated,a.固執己見的
opponent,n.對手，敵手
opportune,a.合適的，適當的
oppose,v.反對
oppress,v.壓迫，壓制
opprobrious,a.辱罵的，惡名聲的
optimism,n.樂觀主義
optimist,n.樂觀主義者
optimum,a.最好的，最有利的
optional,a.可自由選擇的
opulent,a.富裕的；充足的
oracle,n.代神發佈神諭的人
oration,n.正式演說，演講
oratorio,n.清唱劇(沒有舞台行動、道具的戲劇)
oratory,n.演講術
orchard,n.果園
orchestra,n.管弦樂隊
ordain,v.任命(神職)；頒發命令
ordeal,n.嚴峻考驗，痛苦經驗
ordinance,n.法令，條例
ordnance,n.大炮；軍械
ore,n.礦，礦石
organism,n.生物；有機體
orient,a.上升的；v.確定方向；使熟悉情況
original,a.最初的，原始的；有創意的
originality,n.創造性，獨特性
ornate,a.華美的；充滿裝飾的
ornithologist,n.鳥類學家，鳥類學者
ornithology,n.鳥類學
orthodontics,n.畸齒矯正學
orthodox,a.正統的
oscillate,v.擺動；猶豫
osmosis,n.滲透；潛移默化
osseous,a.骨的，多骨的
ossify,v.硬化，骨化；使(傳統)僵化
ostensible,a.表面上的
ostentation,n.誇示，炫耀
ostracism,n.放逐，排斥
ostracize,v.放逐，排斥
ostrich,n.鴕鳥；不接受現實的人
other-directed,a.受人支配的
otter,n.水獺
oust,v.驅逐；把…趕走
outgoing,a.友善的；即將離去的
outgrowth,n.自然結果；生長物
outlandish,a.古怪的
outlet,n.出口
outline,n.輪廓；梗概
outmaneuver,v.以策略制勝
outmoded,a.不再流行的
outrage,n.暴行
outset,n.開始，開頭
outshine,v.要求比…更好
outskirts,n.郊區，郊外
outspoken,a.直言不諱的
outstrip,v.超過；跑過
outwit,v.以機智勝過
ovation,n.熱烈的歡迎、鼓掌
overbearing,a.專橫的，獨斷的
overdose,n.(藥物)過大的劑量
